publication_number,title,abstract,publication_date,filing_date,ipc_codes,assignees
CA-2917123-A1,Water treatment process and water treatment system,"Provided are a water treatment system and a water treatment process, which are capable of reproducing water containing salts with high water recovery. A water treatment system comprises a first demineralizing section that separates the water to be treated including Ca ions, SO4 ions, and carbonate ions into concentrated water in which the Ca ions, the SO4 ions, and the carbonate ions are concentrated and treated water; a crystallizing section which is positioned on a downstream side of the first demineralizing section and which includes a first crystallizing tank 21 that crystallizes gypsum from the concentrated water and a first seed crystal supplying section 22 that supplies seed crystals of gypsum to the first crystallizing tank 21; a first pH measuring section 543 that measures the pH of the first concentrated water in the first crystallizing tank 21; and a first controlling section that reduces the amount of the seed crystals of the gypsum to be supplied when the pH measured in the first pH  measuring section 543 falls within a pH range in which a scale inhibition function of the calcium scale inhibitor is reduced, and increases the amount of the seed crystals of the gypsum to be supplied when the pH measured in the first pH measuring section 543 is beyond the pH range.",20150108,20140530,"C02F1/44,B01D61/08",MITSUBISHI HEAVY IND LTD
JP-2017064639-A,Method and apparatus for recovering and using waste water from steam power plant,"PROBLEM TO BE SOLVED: To efficiently process blow water, drain water, and sampling rack drainage water from a steam power plant to recover and use them as boiler makeup water.SOLUTION: The blow water, drain water, and sampling rack drainage water from a steam power plant are oxidized with an oxidant, subsequently, the oxidation treatment water is subjected to flocculation and solid-liquid separation, the separated water is desalinated, and the desalinated water is recovered to use as boiler makeup water. The desalting treatment is preferably carried out by ion exchange treatment, reverse osmosis membrane separation treatment, or electric deionization treatment, or a combination thereof, and solid-liquid separation is preferably carried out by membrane separation.SELECTED DRAWING: Figure 1",20170406,20150930,C02F1/44,KURITA WATER IND LTD
CN-206156807-U,Reverse osmosis water purification system and reverse osmosis water purifier,"The utility model discloses a reverse osmosis water purification system and reverse osmosis water purifier, wherein, reverse osmosis water purification system includes water intake pipe, reverse osmosis filter core, pure water pipeline and waste water pipeline, the reverse osmosis filter core is equipped with water inlet, pure water delivery port and waste water outlet, anti -osmosis filter core includes the casing and sets up the reverse osmosis membrane technology in the casing, reverse osmosis membrane technology&#39;s side is equipped with the raw water entry that is linked together with the water inlet, the wastewater outlet that is equipped with the pure water outlet who is linked together with the pure water delivery port on reverse osmosis membrane technology&#39;s the terminal surface and is linked together with waste water outlet, the waste pipe is equipped with the waste water valve on the road, intake antrum that the waste water valve was equipped with intercommunication waste water valve with go out the water cavity cross the water through -hole, close at the waste water valve under the state of valve port, the rivers in the intake antrum get into out the water cavity through the water through -hole, is the aperture of crossing the water through -hole 0.4  0.7mm. The utility model discloses technical scheme can improve the raw water rate of recovery.",20170510,20161026,"B01D61/08,C02F1/44",FOSHAN SHUNDE MIDEA WATER DISPENSER MFG CO LTD
US-9206059-B2,Packed bed bioreactor for biofouling control of reverse osmosis and nanofiltration membranes,"An installation and a method for removing dissolved biodegradable compounds as a biological treatment step upstream of an equipment to be protected from biofouling being part of a ground water, surface water or tertiary wastewater treatment line, wherein said upstream biological treatment step is carried out in at least one packed bed bioreactor comprising a vessel or a tank filled with packing elements, characterized in that: iv) said packing elements of said packed bed show a void fraction of at least 70% and the flow velocity of water through said packed bed bioreactor is at least 20 m/h, so that said packed bed does not have a removal efficiency of suspended solids in water, if any, of more than 30%; v) said packing elements of said packed bed show a specific surface area of at least 750 m2/m3; vi) said process does not require the use of any biocide or biostatic compound.",20151208,20090904,"B01D61/02,C02F1/44","WITTMANN ERICH,VEOLIA WATER SOLUTIONS & TECH,BROUWER HARRY"
CN-206947250-U,High-voltage switch gear,"A kind of high-voltage switch gear, the plastics and rubber ring for mainly solving to contact with medium in present high-voltage switch gear are mostly that general material is made, and have certain toxicity, using and it is dangerous the problem of.It is characterized in that：Also include the pressing plate that bottom compresses cooperation with the diaphragm（4）, the pressing plate upper surface and the contact compress cooperations, and the contact is located on the axis of the diaphragm, the pressing plate（4）Side is provided with spring base（41）, the spring base（41）On be arranged with spring（42）, the spring（42）One end compresses cooperation with the pressing plate and the other end at the top of the rack inner wall with compressing cooperation, the valve body（1）It is made up with the diaphragm of food grade materials.The utility model provides high-voltage switch gear, and its valve body and the diaphragm be made up of food grade materials, and safer when flow of media, using effect is more preferable.",20180130,20170527,C02F1/44,ZHE JIANG LEFOO CONTROLS CO LTD
CN-112808014-A,Continuous cleaning brush head for underwater plane cleaning,"The invention relates to the technical field of cleaning equipment, and discloses a continuous cleaning brush head for underwater plane cleaning, which comprises a main shaft, wherein a suction pipe is arranged in the center of the lower end of the main shaft, an adsorption head is arranged on the lower end surface of the main shaft, an upper support is sleeved outside the upper section of the main shaft, a lower support is sleeved outside the lower section of the main shaft, a clockwork chamber is fixedly connected between the upper support and the lower support, a centrifugal impeller is arranged at the outer end of the clockwork chamber, an arc-surface stop block is arranged on the inner side of the outer ring of the clockwork chamber, a clockwork coil is arranged inside the clockwork chamber, spring balls are fixedly arranged. According to the continuous cleaning brush head for cleaning the underwater plane, the mainshaft rotates to drive the spring ring to wind the spring, when the elastic force of the spring ring exceeds the critical static friction force, elastic potential energy is released to drive the centrifugal impeller to rotate, short-time suction is generated to suck dirt stirred at the lower end of the cleaning head from the adsorption head along with water flow, and the dirt is taken away from the cleaning surface.",20210518,20201228,C02F1/44,LUO MINGHE
CN-206354662-U,A kind of portable water intaking water purifying cup,"The utility model is related to a kind of portable water intaking water purifying cup.Booster pump, filter core and the battery of this water purifying cup are each provided in housing, the water intake end of water inlet pipe has been provided with the dirty device of dismountable resistance of preliminary filtering function, water inlet pipe connects booster pump water inlet, booster pump delivery port connects the water inlet of filter core, filter core delivery port leads to outside housing, one is additionally provided with housing with the real-time water quality testing meter for indicating function, battery electrically connects as booster pump with booster pump and powered.The most of part of water purifying cup of the present utility model is fitted into a columnar housing, and structure is compacter, and also sets up the dirty device of resistance in water inlet pipe water intake end, on the premise of water quality is ensured, the volume of the component of filtering can be reduced, the volume of water purifier is further reduced, improves portability, user is facilitated to go out to carry with oneself, real-time water quality testing meter has been added simultaneously, is pointed out user&#39;s water quality situation, is allowed user to trust and drink, user&#39;s request is met, is conducive to marketing.",20170728,20161223,C02F1/44,FANG XUEHUI
CN-215233336-U,Sewage treatment membrane frame,"The utility model provides a sewage treatment membrane frame, which comprises a housing, a rotating disc, a central shaft, a membrane plate and a driving device, wherein the rotating disc is rotatably arranged on the central shaft, and a cleaning rod and a rotatable membrane frame are arranged on the rotating disc; through set up reciprocating gear on the diaphragm, reciprocating gear drives the reciprocating rotation of diaphragm to make the silt on the diaphragm break away from the diaphragm more easily, improved the self-cleaning effect of diaphragm.",20211221,20201231,C02F1/44,HAINAN FEIHAI ENVIRONMENTAL PROT ENGINEERING CO LTD
CN-219539949-U,Convenient wide runner reverse osmosis membrane subassembly of maintaining,"The utility model relates to the technical field of reverse osmosis membranes and discloses a wide-runner reverse osmosis membrane assembly convenient to maintain, which comprises a mounting plate and a reverse osmosis membrane main body, wherein a riser is fixedly arranged on the upper surface of the mounting plate, a jack is arranged in the middle of the riser, one end of the reverse osmosis membrane main body is spliced with the jack, a plurality of rotating rods are arranged on the front side of the riser in an annular array by taking the jack as the center of a circle, one ends of the rotating rods are rotationally connected with the riser, arc rods are fixedly sleeved on the rod walls of the rotating rods, the side walls of the arc rods are in contact with the outer wall of the reverse osmosis membrane main body, and a transmission mechanism for driving the rotating rods to rotate is arranged on the rear side of the riser. The utility model can be used for efficiently and conveniently disassembling and assembling the reverse osmosis membrane, and can greatly improve the efficiency of maintenance work.",20230818,20230320,"B01D61/02,C02F1/44",JIANGSU MORUI ENVIRONMENTAL TECH CO LTD
CN-219449501-U,Bean product workshop washes waste water retrieval and utilization device,"The utility model discloses a bean product workshop flushing wastewater recycling device which comprises a coagulating sedimentation area, an air flotation area, an aeration biological filter area and an ultrafiltration membrane area which are sequentially communicated, wherein the coagulating sedimentation area comprises a coagulating reaction tank and a sedimentation tank, the coagulating reaction tank and the sedimentation tank are separated by a water stop plate, the upper parts of the coagulating reaction tank and the sedimentation tank are communicated, and wastewater in the coagulating reaction tank enters the sedimentation tank through overflow effect after being treated; the bottom of the sedimentation tank is provided with an inverted cone structure, the bottom of the inverted cone structure is provided with a sludge discharge port and a return pipeline, and sludge is discharged through a sludge pump or returned to the coagulation reaction tank; the upper part of the sedimentation tank is provided with a sludge discharge inclined pipe and an overflow groove, and clear water is discharged into the overflow groove through the sludge discharge inclined pipe; the wastewater recycling device has the characteristics that a plurality of production products are met, the layout of production sites is relatively dispersed, and the production clean water is difficult to collect uniformly, so that the effluent reaches above the tap water standard, and the recycling standard of the production line is met.",20230801,20230203,C02F1/44,ZHEJIANG HUANYAO ENV CONSTRUCTION CO LTD
EP-3860951-A4,Processing of lithium containing brines,,20220629,20190920,B01D61/02,REED ADVANCED MAT PTY LTD
