publication_number,title,abstract,publication_date,ipc_codes,assignees
EP-4119596-A4,Method for producing silicone polymer,,20240417,B01D15/36,TORAY FINECHEMICALS CO LTD
CN-109476786-A,"Copolymer and seperation film, Medical Devices and the blood purification for having used it","Inhibit excellent copolymer the purpose of the present invention is to provide water penetration, blood platelet attachment inhibition, protein attachment and uses its seperation film, Medical Devices, medical separating film module.The present invention provides a kind of copolymer, is the copolymer containing the monomeric unit from two or more monomer, wherein the hydration energy density of above-mentioned copolymer is 158.992~209.200kJ mol ‑1 ・nm ‑3 , the maximum monomeric unit of hydration energy density is the monomeric unit not comprising hydroxyl in above-mentioned monomeric unit, and the volume fraction of the maximum monomeric unit of hydration energy density is 35~90% in above-mentioned monomeric unit, and the difference of hydration energy density is 71.128~418.400kJ mol ‑1 ・nm ‑3 。",20190315,"B01D71/38,B01D71/40,B01D71/44",TORAY IND KK
EP-3611162-A1,Method for distilling dimethylsulfoxide and multistage distillation column,"The present invention relates to a method for distilling a liquid containing dimethyl sulfoxide using a distillation equipment, including: 
(1) mixing sodium carbonate with a liquid containing dimethyl sulfoxide at a bottom of the distillation equipment such that sodium carbonate accounts for 0.005% to 25% by weight relative to 100% by weight of the liquid containing dimethyl sulfoxide and sodium carbonate in total at the bottom of the distillation equipment and heating the bottom; and 
(2) obtaining a distillate containing dimethyl sulfoxide at a position that is lower than a position at which the liquid containing dimethyl sulfoxide is initially introduced and higher than a position of the heated portion. 
According to the method for distilling dimethyl sulfoxide of the present invention, a compact equipment is achieved, and thus, the system construction investment cost is low. Further, as the temperatures of an in-process liquid and vapor in a distillation tower can be raised up, it is possible to reduce the amount of energy used in the system as a whole by reusing energy through recovery of sensible heat and latent heat of the in-process liquid and vapor. This allows distillation purification of dimethyl sulfoxide at a low purification cost in an economical manner. 
Dimethyl sulfoxide obtained by the method for distilling dimethyl sulfoxide of the present invention contains fewer impurities and has high purity. Dimethyl sulfoxide obtained by the method for distilling dimethyl sulfoxide of the present invention can be used as a liquid for removing photoresists as electronic materials, a liquid for synthesis of medicines and pesticides, a liquid for removing washing lend molds or the like, a solvent used in a step of polymerization of polymers such as cellulose, polyimide, polysulfone, polyurethane, and polyacrylonitrile or spinning of fibers of such polymers, or a liquid for removing paints. 
The present invention relates to a multistage distillation tower for distilling a liquid containing dimethyl sulfoxide, which includes an apparatus for adding sodium carbonate at a tower bottom of the distillation tower, and 
which is provided with a system capable of mixing sodium carbonate with a liquid containing dimethyl sulfoxide at the tower bottom of the distillation tower while controlling the concentration of sodium carbonate to 0.005% to 25% by weight relative to 100% by weight of the liquid containing dimethyl sulfoxide and sodium carbonate in total at the tower bottom of the distillation tower and heating the bottom portion, 
wherein a side cut for allowing a distillate containing dimethyl sulfoxide to be drawn off at a position that is lower than a position of a supply stage for supplying a liquid containing dimethyl sulfoxide and higher than a position of the heating portion. 
According to the multistage distillation tower of the present invention, as the temperatures of an in-process liquid and vapor in a distillation tower can be raised up, it is possible to reduce the amount of energy used in the system as a whole by reusing energy through recovery of sensible heat and latent heat of the in-process liquid and vapor. This allows distillation purification of dimethyl sulfoxide at a low purification cost in an economical manner. 
Dimethyl sulfoxide recovered or purified according to the multistage distillation tower of the present invention contain fewer impurities and has high purity. Dimethyl sulfoxide according to the method for distilling dimethyl sulfoxide of the present invention can be widely used as a solvent for removal or washing of electronic materials, synthesis of medicines and pesticides, polymer polymerization, spinning of fibers of such polymers, and the like.",20200219,B01D3/14,TORAY FINECHEMICALS CO LTD
CN-204841222-U,Filter core for air purifier,"The utility model discloses a filter core for air purifier, filtration main part (2) in external frame (1) and embedding frame, external frame (1) is the synthetic resin one time, just constitute by upper cover (1 -1) and bottom (1 -3), upper cover (1 -1) contains an opposite side, folding and the reverse formation inner groovy (1 -2) that extends of opposite side to the hem (2 -1) of main part (2) is filtered in the cladding. The utility model discloses a filter core for air purifier has the characteristics that air purification is thorough, the structure size stable, the outward appearance texture is superior, the preparation is simplified.",20151209,"B01D46/52,B01D46/00",TORAY FIBER RES INST CN CO LTD
CN-104291458-A,Water reuse treatment method,"The invention belongs to the field of sewage treatment, and relates to a membrane method sewage reuse treatment technology. Water to be treated is pre treated to obtain first treatment water, the first treatment water enters into a multi-media filter, the effluent from the multi-media filter enters into an ultrafiltration or microfiltration system, the effluent from the ultrafiltration or microfiltration system enters into a reverse osmosis system, and the effluent from the reverse osmosis system is reused, wherein concentrated water in the reverse osmosis system and chemically strengthened backwashing drainage from the ultrafiltration or microfiltration system enter into a clean water tank, and the water in the clean water tank is used for backwashing of the multi-media filter. The invention improves the utilization efficiency of the multi-media filter, also makes full use of residual chemicals from ultrafiltration or microfiltration chemically enhanced backwashing, can suppress microbial proliferation within the multi-media filter and improve the filtering performance of the multi-media filter.",20150121,"C02F9/02,C02F1/44",TORAY ADVANCED MATERIALS RES LAB CHINA CO LTD
CN-110947303-A,Water purifying device and operation method thereof,"The invention belongs to the field of water purifiers, and relates to a semi-permeable membrane supply pipeline 2, a semi-permeable membrane element system 1 consisting of two or more semi-permeable membrane elements rolled by a water inlet grid, a water production grid and a separation membrane, a water production supply pipeline 4, a concentrated water supply pipeline 3 and a control device 15.",20200403,"C02F1/44,B01D61/00",TORAY ADVANCED MATERIALS RES LABORATORIES CHINA CO LTD
CN-104645926-A,Air filtering material containing porous particles and producing method thereof,"The invention discloses an air filtering material containing porous particles and a producing method thereof. The air filtering material is at least composed of an upper nonwoven cloth layer and a lower nonwoven cloth layer and a porous particle layer clamped therebetween, wherein the porous particle layer at least contains porous particles containing more than 5% by weight of -NHHN- groups. The air filtering material containing the porous particles has an excellent removing performance to aldehyde gas and meanwhile can maintain an excellent removing efficiency to organic gases. The air filtering material can be applied in the field of filtration in automobiles, home-use purifiers and clean rooms and the like.",20150527,"B01D53/02,B01D53/81",TORAY FIBERS & TEXTILES RES LAB CHINA CO LTD
CN-102335533-B,Filtering material and application thereof,"The invention discloses a filtering material and its application. The filtering material comprises a three-layer structure of a filtering surface layer, a non-filtering surface layer, and an intermediate fabric enhancement layer, wherein, the filtering surface layer is a fibrous mesh comprising 10-90 wt% of heat resistant fibers with the average diameter of below 10 mum and 10-90 wt% of heat resistant fibers with the average diameter of 10-20 mum, the non-filtering surface layer is a fibrous mesh comprising deformed section heat resistant fibers with the average diameter of 10-200 mum, and the intermediate fabric enhancement layer is a fibrous mesh comprising heat resistant fibers. The filtering material disclosed herein has good filtering performance, high mechanical strength, little loss of pressure, and long cycle time, and can improve the service life of the filtering material.",20150408,"B01D39/14,B01D46/02",TORAY FIBER RES INST CN CO LTD
CN-108568128-A,The recovery method of synthetic,"Problem of the present invention is that after in order to synthesize N (cyclohexyl thio) phthalimide in the solvent of saturated hydrocarbons, solvent is recycled, and a kind of industrially advantageously method of recycling design is provided.The solution of the present invention is a kind of recovery method of synthetic, wherein, so that cyclohexyl time sulfonic acid chloride and phthalimide is reacted in the solvent comprising saturated hydrocarbons and after synthesizing N (cyclohexyl thio) phthalimide, detaching by N (cyclohexyl thio) phthalimide partial crystallizations and by crystal, alkaline matter and water are added into partial crystallization mother liquor, distill solvent in the presence of alkaline matter and water.",20180925,B01D3/00,TORAY FINECHEMICALS CO LTD
WO-2019174597-A1,Filter material,"A filter material that contains a non-woven fabric; when the amount of deformation thereof is 10 mm, the anti-bending strength thereof is 2.0 MPa or greater.",20190919,B01D39/14,TORAY FIBERS&TEXTILES RES LABORATORIES CHINA CO LTD
